user,test,used_credit,timeStamp
1234,test 1,100,18/05/23 12:46:58
1234,test 1,100,18/05/23 12:47:07
1234,test 2,150,18/05/23 12:47:13
rohit,test 1,100,18/05/23 23:41:45
a1,test 2,150,19/05/23 00:06:02
a1,test 2,150,19/05/23 00:06:22
a1,test 2,150,19/05/23 00:06:22
a1,test 2,150,19/05/23 00:06:33
a1,test 2,150,19/05/23 00:06:34
a1,test 2,150,19/05/23 00:06:35
a1,test 2,150,19/05/23 00:07:34
a1,test 2,150,19/05/23 00:19:59
a1,test 2,150,19/05/23 00:20:05
a1,test 2,150,19/05/23 00:20:06
a0,test 1,100,19/05/23 00:22:47
a0,test 2,150,19/05/23 00:23:15
a0,test 2,150,19/05/23 00:23:19
a0,test 2,150,19/05/23 00:23:21
a0,test 2,150,19/05/23 00:23:29
a0,test 2,150,19/05/23 00:23:30
a0,test 2,150,19/05/23 00:23:31
a1,test 2,150,19/05/23 00:27:16
a1,test 2,150,19/05/23 00:27:19
a1,test 2,150,19/05/23 00:27:27
a0,test 1,100,19/05/23 00:28:14
a0,test 1,100,19/05/23 00:28:20
a0,test 2,150,19/05/23 00:28:24
a0,test 2,150,19/05/23 00:28:27
